Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,19,13,2090,468,32,2,2,16,6,7,1,4,7,4,7,3,4,16-09-2020,4,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,1,,27,98,52360,18468,171,7,4,20,6,7,1,4,14,7,4,3,1,06-09-2020,6.5,EI
Estados Unidos,30,Tomás Ruiz,442669692,,,,1,,,21,91,6620,1044,66,3,4,20,6,8,2,4,9,8,5,3,3,13-09-2020,5,EI
Colombia,33,Augusto Núñez,454554703,,Potente,,,,,17,28,930,310,3,2,4,6,5,6,1,2,4,6,7,3,3,16-09-2020,2,MC
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,30,27,380,310,174,2,3,20,3,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,19,109,10200,1890,43,2,6,19,7,8,1,4,11,3,3,2,3,16-09-2020,5.5,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,29,81,64610,38844,173,4,6,20,6,6,1,3,16,4,2,2,3,06-09-2020,7,MC
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,1,,30,66,58310,30840,17,8,2,12,7,6,1,16,4,2,4,2,5,06-09-2020,7.5,DC
Venezuela,92,Israel Arteaga,428808648,,,,,,,27,99,750,444,161,2,5,20,4,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Colombia,98,Gonzalo Albán,427777420,,,1,,,,29,23,670,380,174,3,6,20,3,6,1,7,5,4,5,2,5,10-05-2020,4,DC
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,32,22,990,690,174,4,2,20,2,5,6,2,2,1,1,1,5,26-08-2020,1.5,POR
Rumanía,12,Fănică Teacu,433196899,,,,,,,27,111,3610,1596,144,5,2,20,6,8,7,3,6,1,1,1,4,16-09-2020,3.5,POR
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,32,9,190,290,174,3,1,20,3,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,38,10,80,280,174,7,1,20,5,3,4,2,2,0,0,0,1,09-09-2020,1.5,POR
Túnez,25,Karim Ati,399199147,,,,,,,37,0,7890,1776,1,15,3,3,3,4,13,3,1,0,0,0,1,26-04-2020,6,POR
Alemania,35,Walter Brieselang,401033610,,,,,,,39,27,820,1404,60,8,5,20,3,3,0,0,12,0,2,0,4,12-08-2020,5.5,MC
Suiza,,Achille Lev,439739663,1,Imprevisible,,,,,36,110,0,300,17,7,7,12,2,3,0,4,3,1,0,0,6,09-09-2020,0.5,LI
