Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,18,62,1250,372,23,2,2,14,6,7,1,4,6,4,7,3,4,15-07-2020,3.5,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,27,35,49700,18468,162,7,4,20,7,7,1,4,14,7,4,3,1,12-07-2020,6,ED
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,21,28,6510,1044,57,3,4,20,7,8,2,4,9,8,5,3,3,15-07-2020,5,EI
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,29,76,420,320,165,2,3,20,2,6,1,4,6,3,6,3,6,31-10-2018,3,DEL
Colombia,,Alejandro Martínez,427777427,1,Técnico,1,,,,35,93,10,260,165,4,7,20,4,4,1,4,5,1,3,0,5,07-11-2018,2.5,DEL
Rumanía,12,Fănică Teacu,433196899,,,,,,,27,48,3480,1596,134,5,2,20,6,7,7,3,6,1,1,1,4,15-07-2020,3.5,POR
Alemania,14,Luca Kopetzky,427835263,,,,,,,28,34,76610,38772,164,4,4,20,8,7,1,3,16,3,4,4,3,12-07-2020,7.5,MC
Colombia,16,Norberto Peña,427777432,,Potente,1,,1,,28,85,6340,1010,165,4,3,20,6,7,1,3,9,6,5,7,6,15-07-2020,5.5,DEL
Argentina,23,Huberto Marquet,427791661,,,,,,,29,18,58000,38844,164,4,6,20,5,6,1,3,16,4,2,2,3,15-07-2020,6,MC
Bélgica,34,Watse Deschuymere,437261831,,,,,,,23,74,16020,16788,103,3,3,20,1,8,1,3,14,5,4,3,3,15-07-2020,3,MC
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,31,71,1410,770,165,4,2,20,3,5,6,2,2,1,1,1,5,13-11-2019,3,POR
Costa Rica,15,Abdulad Conejo,435765263,,,,,1,,24,85,11090,4380,115,4,5,20,3,8,1,2,11,7,3,5,5,15-07-2020,3,ED
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,37,59,150,290,165,7,1,20,5,3,4,2,2,0,0,0,2,08-01-2020,3,POR
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,28,22,35460,17604,162,6,2,20,5,7,1,2,14,7,3,6,5,05-07-2020,5,EI
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,24,21,21010,8090,89,2,4,20,5,8,1,2,13,3,2,5,4,12-07-2020,4.5,MC
Alemania,35,Walter Brieselang,401033610,,,,,,,38,76,1980,2472,50,8,5,20,6,3,0,1,13,0,3,1,4,24-06-2020,6,MC
Rusia,44,Albert Kurylev,377934834,,,,,,,40,111,3660,2328,37,15,2,17,7,2,13,0,1,0,0,0,9,12-07-2020,4.5,POR
